date,source,target,outflow_usd
2025-11-20,coreum,cosmos,20.408417895099998
2025-11-20,coreum,osmosis,1376.7446471955147
2025-11-20,cosmos,akash,57.244505280000006
2025-11-20,cosmos,axelar,1044446.63272912
2025-11-20,cosmos,coreum,672.5740192000001
2025-11-20,cosmos,injective,43095.80777472
2025-11-20,cosmos,kava,1277.00707712
2025-11-20,cosmos,mantra,23775.77984704
2025-11-20,cosmos,neutron,1356968.233328
2025-11-20,cosmos,osmosis,5175352.130896
2025-11-20,cosmos,stride,177659.60276960002
2025-11-20,cosmos,terra,41492.89220432
2025-11-20,injective,celestia,33844.86158856
2025-11-20,injective,cosmos,102827.86487424
2025-11-20,injective,kava,70.33244152
2025-11-20,injective,osmosis,30898.0889542919
2025-11-20,injective,stride,46.33779507775
2025-11-20,injective,terra,218.05287140879003
2025-11-20,kava,akash,32.795639117608005
2025-11-20,kava,cosmos,58.578474271816
2025-11-20,kava,injective,1.352149316008
2025-11-20,kava,osmosis,7450.534955902101
2025-11-20,kava,terra,2321.8273692595812
2025-11-20,mantra,cosmos,692.9328661082359
2025-11-20,mantra,osmosis,294.020260115203
2025-11-20,neutron,axelar,1460.2040700142238
2025-11-20,neutron,celestia,402.9965502926092
2025-11-20,neutron,cosmos,18107.907935177725
2025-11-20,neutron,osmosis,5146.289890237363
2025-11-20,neutron,stride,4.45489962790572
2025-11-20,neutron,terra,600.9915129347007
2025-11-20,osmosis,akash,6100.695854631321
2025-11-20,osmosis,atomone,6234.97449633272
2025-11-20,osmosis,axelar,56184.1280027416
2025-11-20,osmosis,celestia,12388.831594418838
2025-11-20,osmosis,coreum,1488.1219296735478
2025-11-20,osmosis,cosmos,166623.8090107324
2025-11-20,osmosis,injective,424.7273207689197
2025-11-20,osmosis,kava,5359.12702473964
2025-11-20,osmosis,mantra,330.883597762132
2025-11-20,osmosis,neutron,12648.82025702744
2025-11-20,osmosis,saga,860.500280917512
2025-11-20,osmosis,sei,40.832965180716
2025-11-20,osmosis,stride,7637.178963699201
2025-11-20,osmosis,terra,2019.605822486864
2025-11-20,saga,axelar,448.82814027988803
2025-11-20,saga,osmosis,823.0369005305281
2025-11-20,sei,osmosis,67.492572519594
2025-11-20,stride,celestia,75.39666954021601
2025-11-20,stride,cosmos,4670.61870398844
2025-11-20,stride,injective,0.5105582512203
2025-11-20,stride,neutron,8.776574710512
2025-11-20,stride,osmosis,6121.5911910528
2025-11-20,stride,terra,0.07102660814400001
2025-11-20,terra,axelar,1359.2345698841
2025-11-20,terra,cosmos,1138.3086824582201
2025-11-20,terra,injective,2.5071040469220205
2025-11-20,terra,kava,1388.58194848282
2025-11-20,terra,neutron,1235.5379312458
2025-11-20,terra,osmosis,254.31532725507998
2025-11-20,terra,stride,0.07411765816
2025-11-21,akash,cosmos,0.000305451664
2025-11-21,akash,kava,236.56479119212798
2025-11-21,akash,osmosis,40884.52143526688
2025-11-21,atomone,osmosis,97173.58474600001
2025-11-21,axelar,coreum,1.275207774048
2025-11-21,axelar,neutron,3846.3998709689276
2025-11-21,axelar,osmosis,148861.9649380032
2025-11-21,axelar,saga,898.4655421597439
2025-11-21,axelar,terra,3867.4080337127034
2025-11-21,celestia,injective,3036.755182320384
2025-11-21,celestia,neutron,18161.5313117532
2025-11-21,celestia,osmosis,38513.62776890328
2025-11-21,celestia,stride,8890.275473720088
2025-11-21,coreum,axelar,0.762779296668
2025-11-21,coreum,cosmos,30.733801295408004
2025-11-21,coreum,osmosis,1491.1400241372403
2025-11-21,cosmos,akash,0.00164725
2025-11-21,cosmos,axelar,1578239.0060250002
2025-11-21,cosmos,coreum,1058.114497
2025-11-21,cosmos,injective,555816.9802899999
2025-11-21,cosmos,kava,9403.646818500001
2025-11-21,cosmos,mantra,21283.04789325
2025-11-21,cosmos,neutron,919527.14535
2025-11-21,cosmos,osmosis,5519786.7773125
2025-11-21,cosmos,stride,58166.05088525
2025-11-21,cosmos,terra,60245.180973999995
2025-11-21,injective,celestia,25205.4713008
2025-11-21,injective,cosmos,1202585.8300819998
2025-11-21,injective,kava,571.38027905
2025-11-21,injective,osmosis,640167.9462364445
2025-11-21,injective,stride,684.999628838
2025-11-21,injective,terra,254.81289122380002
2025-11-21,kava,akash,56.364228060504
2025-11-21,kava,cosmos,415.463374965132
2025-11-21,kava,injective,11.667489267901999
2025-11-21,kava,osmosis,2855.21271133514
2025-11-21,kava,terra,2019.335176088126
2025-11-21,mantra,cosmos,606.427557735051
2025-11-21,mantra,osmosis,426.01895139297596
2025-11-21,neutron,axelar,990.8889593309971
2025-11-21,neutron,celestia,871.5442867121135
2025-11-21,neutron,cosmos,11502.726184571142
2025-11-21,neutron,osmosis,5679.426252098059
2025-11-21,neutron,stride,1.59587349295816
2025-11-21,neutron,terra,389.405950237454
2025-11-21,osmosis,akash,7055.62983461916
2025-11-21,osmosis,atomone,7009.4014793586
2025-11-21,osmosis,axelar,98102.01472617239
2025-11-21,osmosis,celestia,4727.97363894426
2025-11-21,osmosis,coreum,1642.8377034919802
2025-11-21,osmosis,cosmos,173594.2010874876
2025-11-21,osmosis,injective,9468.245311714216
2025-11-21,osmosis,kava,2358.628173615492
2025-11-21,osmosis,mantra,478.45782457833593
2025-11-21,osmosis,neutron,14528.744481953878
2025-11-21,osmosis,saga,1495.7965068905519
2025-11-21,osmosis,sei,1.05605128062
2025-11-21,osmosis,stride,10721.131665585659
2025-11-21,osmosis,terra,2320.343330501196
2025-11-21,saga,axelar,765.932185990152
2025-11-21,saga,osmosis,1934.9387826572877
2025-11-21,sei,osmosis,1.7062760776600001
2025-11-21,stride,celestia,801.8729446078339
2025-11-21,stride,cosmos,1367.6001884139978
2025-11-21,stride,injective,7.443816134690319
2025-11-21,stride,neutron,2.9995203112159996
2025-11-21,stride,osmosis,7877.172464642139
2025-11-21,stride,terra,0.07677865936399998
2025-11-21,terra,axelar,1093.78587323224
2025-11-21,terra,cosmos,1589.070708047296
2025-11-21,terra,injective,3.1064046853461442
2025-11-21,terra,kava,1205.5712549402322
2025-11-21,terra,neutron,821.083386837584
2025-11-21,terra,osmosis,225.90881267718402
2025-11-21,terra,stride,0.086133453488
2025-11-22,akash,kava,89.38284294168601
2025-11-22,akash,osmosis,19672.93801419324
2025-11-22,atomone,osmosis,79135.079052
2025-11-22,axelar,celestia,32.49131390198401
2025-11-22,axelar,neutron,2540.9170233345358
2025-11-22,axelar,osmosis,89246.7987500656
2025-11-22,axelar,saga,856.3633147590641
2025-11-22,axelar,terra,4013.0408268427122
2025-11-22,celestia,axelar,167.784788100216
2025-11-22,celestia,injective,1190.9799087800018
2025-11-22,celestia,neutron,12105.858126710898
2025-11-22,celestia,osmosis,20039.6140163074
2025-11-22,celestia,stride,505.5329874924079
2025-11-22,coreum,cosmos,12.318189967759999
2025-11-22,coreum,osmosis,728.77802716104
2025-11-22,cosmos,axelar,289930.143888
2025-11-22,cosmos,coreum,394.73345267999997
2025-11-22,cosmos,injective,2574.5831937000003
2025-11-22,cosmos,kava,788.89545
